Game,Random Play,Best Linear Learner,Contingency (SARSA),Human,DQN (# std),Normalized DQN (% Human)
Alien,227.8,939.2,103.2,6875,3069 (+1093),42.7%
Amidar,5.8,103.4,183.6,1676,739.5 (+3024),43.9%
Assault,222.4,628,537,1496,3359(+775),246.2%
Asterix,210,987.3,1332,8503,6012 (+1744),70.0%
Asteroids,719.1,907.3,89,13157,1629 (+542),7.3%
Atlantis,12850,62687,852.9,29028,85641 (+17600),449.9%
Bank Heist,14.2,190.8,67.4,734.4,429.7 (+650),57.7%
Battle Zone,2360,15820,16.2,37800,26300 (+7725),67.6%
Beam Rider,363.9,929.4,1743,5775,6846 (+1619),119.8%
Bowling,23.1,43.9,36.4,154.8,42.4 (+88),14.7%
Boxing,0.1,44,9.8,4.3,71.8 (+8.4),1707.9%
Breakout,1.7,5.2,6.1,31.8,401.2 (+26.9),1327.2%
Centipede,2091,8803,4647,11963,8309(+5237),63.0%
Chopper Command,811,1582,16.9,9882,6687 (+2916),64.8%
Crazy Climber,10781,23411,149.8,35411,114103 (+22797),419.5%
Demon Attack,152.1,520.5,0,3401,9711 (+2406),294.2%
Double Dunk,-18.6,-13.1,-16,-15.5,-18.1 (+2.6),17.1%
Enduro,0,129.1,159.4,309.6,301.8 (+24.6),97.5%
Fishing Derby,-91.7,-89.5,-85.1,5.5,-0.8 (+19.0),93.5%
Freeway,0,19.1,19.7,29.6,30.3 (+0.7),102.4%
Frostbite,65.2,216.9,180.9,4335,328.3 (+250.5),6.2%
Gopher,257.6,1288,2368,2321,8520 (+3279),400.4%
Gravitar,173,387.7,429,2672,306.7 (+223.9),5.3%
H.E.R.O.,1027,6459,7295,25763,19950 (+158),76.5%
Ice Hockey,-11.2,-9.5,-3.2,0.9,-1.6 (+2.5),79.3%
James Bond,29,202.8,354.1,406.7,576.7 (+175.5),145.0%
Kangaroo,52,1622,8.8,3035,6740 (+2959),224.2%
Krull,1598,3372,3341,2395,3805 (11333),277.0%
Kung-Fu Master,258.5,19544,29151,22736,23270 (+5955),102.4%
Montezuma's Revenge,0,10.7,259,4367,0 (+0),0.0%
Ms. Pacman,307.3,1692,1227,15693,2311 (+525),13.0%
Name This Game,2292,2500,2247,4076,7257 (+547),278.3%
Pong,-20.7,-19,-17.4,9.3,18.9 (1.3),132.0%
Private Eye,24.9,684.3,86,69571,1788 (+5473),2.5%
Q*Bert,163.9,613.5,960.3,13455,10596 (+3294),78.5%
River Raid,1339,1904,2650,13513,8316 (+1049),57.3%
Road Runner,11.5,67.7,89.1,7845,18257 (+4268),232.9%
Robotank,2.2,28.7,12.4,11.9,51.6 (+4.7),509.0%
Seaquest,68.4,664.8,675.5,20182,5286(+1310),25.9%
Space Invaders,148,250.1,267.9,1652,1976 (+893),121.5%
Star Gunner,664,1070,9.4,10250,57997 (+3152),598.1%
Tennis,-23.8,-0.1,0,-8.9,-2.5 (1.9),143.2%
Time Pilot,3568,3741,24.9,5925,5947 (+1600),100.9%
Tutankham,11.4,114.3,98.2,167.6,186.7 (+41.9),112.2%
Up and Down,533.4,3533,2449,9082,8456 (+3162),92.7%
Venture,0,66,0.6,1188,3800 (+238.6),32.0%
Video Pinball,16257,16871,19761,17298,42684 (+16287),2539.4%
Wizard of Wor,563.5,1981,36.9,4757,3393 (+2019),67.5%
Zaxxon,32.5,3365,21.4,9173,4977 (+1235),54.1%